,Year_of_Release,Platform,Name,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,BINARY_Hits,Console_Manufacturer
0,2012.0,WiiU,32,17.539999999999992,8.89,5.280000000000001,2.1299999999999994,1.2600000000000005,67.55,3.0,Nintendo
1,2013.0,PS4,16,25.97,10.13,11.050000000000002,0.94,3.8699999999999997,70.93333333333334,9.0,Sony
2,2013.0,WiiU,42,21.68,9.85,6.699999999999998,3.569999999999999,1.5300000000000005,72.37037037037037,6.0,Nintendo
3,2013.0,XOne,19,18.94,11.85,5.340000000000001,0.02,1.7500000000000002,68.14285714285714,8.0,Microsoft
4,2014.0,PS4,75,100.00999999999996,34.74999999999999,46.49999999999999,2.9699999999999993,15.779999999999989,73.13461538461539,26.0,Sony
5,2014.0,WiiU,31,22.02999999999999,10.499999999999998,6.659999999999998,3.1899999999999995,1.6800000000000006,70.73333333333333,5.0,Nintendo
6,2014.0,XOne,61,54.15999999999999,30.970000000000002,18.150000000000002,0.13999999999999999,4.809999999999996,74.27906976744185,15.0,Microsoft
7,2015.0,PS4,139,119.46000000000002,42.420000000000066,51.830000000000005,6.3499999999999925,18.480000000000036,72.1685393258427,26.0,Sony
8,2015.0,WiiU,28,16.330000000000005,6.760000000000001,5.009999999999998,3.449999999999999,1.1300000000000003,70.84210526315789,4.0,Nintendo
9,2015.0,XOne,80,60.27000000000002,36.030000000000015,18.47000000000001,0.17000000000000004,5.469999999999992,73.34615384615384,19.0,Microsoft
10,2016.0,PS4,164,118.59,21.490000000000027,31.780000000000005,5.739999999999993,10.239999999999986,71.6734693877551,28.0,Sony
11,2016.0,WiiU,14,6.99,2.0999999999999996,1.4800000000000004,0.67,0.3500000000000001,72.66666666666667,3.0,Nintendo
12,2016.0,XOne,87,51.46,14.269999999999985,9.629999999999994,0.01,2.2399999999999967,73.83333333333333,16.0,Microsoft
13,2017.0,PS4,237,115.37,39.470000000000056,50.79999999999999,7.459999999999989,17.6400000000001,76.8125,28.0,Sony
14,2017.0,WiiU,2,0.05,0.03,0.01,0.0,0.0,,0.0,Nintendo
15,2017.0,XOne,136,47.06000000000002,29.17,13.429999999999989,0.01,4.319999999999988,77.875,11.0,Microsoft
16,2018.0,PS4,233,97.48000000000005,37.05000000000004,36.099999999999994,9.649999999999979,14.609999999999966,77.47826086956522,17.0,Sony
17,2018.0,XOne,132,38.51000000000002,25.27000000000002,9.59999999999999,0.01,3.519999999999989,75.75,9.0,Microsoft
18,2017.0,NS,69,18.689999999999998,8.569999999999997,6.699999999999997,1.9900000000000009,1.4500000000000008,71.13793103448276,3.0,Nintendo
19,2018.0,NS,164,25.940000000000065,13.179999999999971,7.089999999999993,3.5999999999999917,1.920000000000001,77.09677419354838,3.0,Nintendo
20,2005.0,X360,17,7.0200000000000005,5.9,0.30000000000000004,0.26,0.5400000000000003,76.26666666666667,1.0,Microsoft
21,2006.0,PS3,27,20.950000000000003,8.84,7.379999999999999,1.08,3.6599999999999997,70.35,7.0,Sony
22,2006.0,Wii,44,137.12000000000003,70.86000000000003,43.61999999999998,9.149999999999997,13.51999999999999,62.94117647058823,8.0,Nintendo
23,2006.0,X360,93,51.66,35.16,10.839999999999986,1.2000000000000004,4.41999999999999,69.84210526315789,15.0,Microsoft
24,2007.0,PS3,90,73.14000000000003,32.16,26.100000000000023,4.22,10.709999999999988,72.78205128205128,24.0,Sony
25,2007.0,Wii,185,152.89000000000001,83.14000000000001,43.959999999999994,12.119999999999987,13.549999999999967,60.865546218487395,36.0,Nintendo
26,2007.0,X360,123,95.42999999999998,62.98999999999997,22.17000000000002,1.5200000000000002,8.729999999999983,68.49549549549549,21.0,Microsoft
27,2008.0,PS3,138,118.48,57.22999999999998,38.730000000000004,5.819999999999998,16.740000000000023,68.81739130434782,37.0,Sony
28,2008.0,Wii,282,171.45000000000016,97.12000000000002,46.519999999999996,12.689999999999987,14.989999999999954,60.55944055944056,38.0,Nintendo
29,2008.0,X360,146,135.2500000000001,82.51000000000003,38.160000000000004,1.8900000000000006,12.69999999999999,68.28571428571429,38.0,Microsoft
30,2009.0,PS3,162,130.89000000000007,62.65000000000003,41.40000000000002,9.029999999999994,17.850000000000048,71.83620689655173,28.0,Sony
31,2009.0,Wii,325,207.08000000000015,114.54999999999988,58.309999999999974,16.57,17.54000000000012,63.61224489795919,29.0,Nintendo
32,2009.0,X360,172,120.27999999999999,73.99999999999999,33.31,1.9500000000000008,11.029999999999976,68.09022556390977,26.0,Microsoft
33,2010.0,PS3,181,142.3800000000002,60.99,50.50000000000001,9.869999999999996,20.810000000000038,67.5079365079365,36.0,Sony
34,2010.0,Wii,253,128.18,72.64000000000003,36.31000000000002,8.779999999999996,10.219999999999954,65.1948051948052,23.0,Nintendo
35,2010.0,X360,182,170.0799999999999,107.37999999999994,46.31000000000006,2.1100000000000008,14.229999999999977,65.71323529411765,38.0,Microsoft
36,2011.0,PS3,215,156.79000000000013,64.88000000000002,56.240000000000045,14.09999999999999,21.56000000000005,70.4074074074074,41.0,Sony
37,2011.0,Wii,143,59.64000000000003,31.110000000000014,17.679999999999993,5.579999999999999,5.279999999999981,66.5813953488372,10.0,Nintendo
38,2011.0,X360,206,143.94000000000025,86.74999999999999,42.58000000000007,1.7800000000000011,12.729999999999963,68.408,36.0,Microsoft
39,2012.0,PS3,147,107.26000000000005,39.88000000000001,39.040000000000006,11.939999999999989,16.490000000000016,73.23913043478261,26.0,Sony
40,2012.0,Wii,31,21.710000000000004,10.89,5.989999999999998,3.3400000000000003,1.4900000000000004,76.2,4.0,Nintendo
41,2012.0,X360,106,99.65000000000005,58.390000000000015,31.999999999999993,1.0600000000000005,8.289999999999992,72.34444444444445,24.0,Microsoft
42,2013.0,PS3,126,113.16999999999997,41.45000000000001,42.270000000000024,12.129999999999988,17.400000000000002,71.74117647058823,26.0,Sony
43,2013.0,Wii,12,8.6,4.48,3.339999999999999,0.05,0.7200000000000001,,3.0,Nintendo
