,Platform,Genre,Publisher,Rating,Year_of_Release,Critic_Score,BINARY_Hits
2425,PS3,Sports,Take-Two Interactive,E,2009.0,83.0,0.0
2427,PS2,Racing,Over 50 Under 150 Publisher,E,2003.0,68.0,0.0
2429,PS3,Sports,Electronic Arts,T,2009.0,84.0,0.0
2431,PS2,Racing,Under 50 Games Publisher,T,2002.0,62.0,0.0
2433,PS2,Role-Playing,Sony Computer Entertainment,T,2005.0,83.0,0.0
2434,PS2,Sports,Sega,E,2004.0,86.0,0.0
2435,PS3,Sports,Electronic Arts,E,2013.0,77.0,0.0
2436,DS,Action,Electronic Arts,E,2007.0,51.0,0.0
2437,X360,Shooter,Over 50 Under 150 Publisher,M,2012.0,67.0,0.0
2438,GBA,Adventure,Nintendo,E,2004.0,89.0,0.0
2440,PSP,Racing,Electronic Arts,E10+,2005.0,86.0,0.0
2442,Wii,Simulation,Ubisoft,T,2007.0,57.0,0.0
2443,Wii,Sports,Electronic Arts,E,2008.0,82.0,0.0
2445,PS2,Action,THQ,T,2000.0,75.0,0.0
2446,PS3,Shooter,Namco Bandai Games,T,2007.0,60.0,0.0
2447,X360,Shooter,Take-Two Interactive,M,2011.0,49.0,0.0
2448,GBA,Action,Over 50 Under 150 Publisher,E,2004.0,57.0,0.0
2450,PS3,Sports,Electronic Arts,E,2011.0,82.0,0.0
2451,XB,Shooter,Over 50 Under 150 Publisher,M,2003.0,77.0,0.0
2452,PS3,Sports,Electronic Arts,E,2010.0,78.0,0.0
2454,Wii,Fighting,THQ,T,2008.0,79.0,0.0
2457,PS2,Platform,Sony Computer Entertainment,E10+,2005.0,83.0,0.0
2458,Wii,Racing,Electronic Arts,E10+,2009.0,69.0,0.0
2459,PS3,Fighting,Capcom,T,2012.0,84.0,0.0
2462,X360,Strategy,Take-Two Interactive,E10+,2008.0,84.0,0.0
2463,3DS,Role-Playing,Namco Bandai Games,T,2011.0,75.0,0.0
2464,PS3,Action,Electronic Arts,M,2011.0,82.0,0.0
2465,Wii,Shooter,Activision,M,2011.0,70.0,0.0
2468,XB,Shooter,Electronic Arts,T,2002.0,78.0,0.0
2469,GC,Sports,Activision,T,2001.0,91.0,0.0
2470,PS2,Role-Playing,Activision,T,2006.0,81.0,0.0
2471,X360,Misc,Activision,T,2010.0,86.0,0.0
2472,Wii,Simulation,Over 50 Under 150 Publisher,E,2007.0,65.0,0.0
2473,PSP,Sports,Activision,T,2005.0,83.0,0.0
2474,XB,Racing,Electronic Arts,E,2002.0,75.0,0.0
2478,DS,Puzzle,Under 5 Games Publisher,E,2007.0,53.0,0.0
2479,XB,Sports,Over 50 Under 150 Publisher,E,2001.0,78.0,0.0
2482,X360,Shooter,Over 50 Under 150 Publisher,M,2007.0,77.0,0.0
2484,PS2,Role-Playing,Under 50 Games Publisher,M,2008.0,90.0,0.0
2485,PS3,Action,Capcom,M,2012.0,74.0,0.0
2488,PS2,Fighting,Over 50 Under 150 Publisher,T,2000.0,75.0,0.0
2489,X360,Misc,Over 50 Under 150 Publisher,T,2012.0,86.0,0.0
2492,PS,Role-Playing,Namco Bandai Games,T,2000.0,78.0,0.0
2494,PS,Racing,Electronic Arts,E,2000.0,73.0,0.0
2496,GC,Action,Nintendo,E,2004.0,86.0,0.0
2498,PSP,Adventure,Sony Computer Entertainment,T,2005.0,66.0,0.0
2499,PS,Role-Playing,Under 5 Games Publisher,T,1999.0,81.0,0.0
2500,PSP,Misc,Sony Computer Entertainment,E,2007.0,86.0,0.0
2504,X360,Sports,Konami Digital Entertainment,E,2009.0,78.0,0.0
2505,PS2,Shooter,Ubisoft,M,2004.0,70.0,0.0
2506,XOne,Sports,Electronic Arts,E,2013.0,73.0,0.0
2507,PS3,Sports,Electronic Arts,E,2009.0,80.0,0.0
2510,PS3,Misc,Activision,T,2010.0,74.0,0.0
2514,PS2,Simulation,Electronic Arts,T,2005.0,75.0,0.0
2515,PS3,Fighting,Namco Bandai Games,T,2010.0,60.0,0.0
2516,PS3,Misc,Sony Computer Entertainment,T,2008.0,76.0,0.0
2518,PS2,Action,Sega,M,2005.0,75.0,0.0
2520,GC,Simulation,Over 50 Under 150 Publisher,T,2003.0,75.0,0.0
2522,PS2,Shooter,Over 50 Under 150 Publisher,M,2004.0,80.0,0.0
2523,3DS,Puzzle,Under 5 Games Publisher,T,2012.0,79.0,0.0
2524,Wii,Action,Under 5 Games Publisher,E10+,2008.0,45.0,0.0
2525,PS,Role-Playing,Under 5 Games Publisher,T,1999.0,80.0,0.0
2526,X360,Racing,Over 50 Under 150 Publisher,T,2009.0,87.0,0.0
2527,XB,Action,Ubisoft,M,2004.0,83.0,0.0
2528,Wii,Sports,Under 50 Games Publisher,E,2009.0,49.0,0.0
2529,PSV,Shooter,Under 50 Games Publisher,M,2013.0,78.0,0.0
2530,PSP,Sports,Konami Digital Entertainment,E,2009.0,72.0,0.0
2531,X360,Misc,Activision,T,2009.0,84.0,0.0
2532,PSV,Role-Playing,Over 50 Under 150 Publisher,T,2013.0,86.0,0.0
2534,GC,Racing,Electronic Arts,E,2002.0,68.0,0.0
2538,DS,Misc,Ubisoft,E10+,2007.0,57.0,0.0
2539,PSP,Simulation,Electronic Arts,T,2006.0,57.0,0.0
2541,PS2,Fighting,Atari,T,2006.0,73.0,0.0
2542,PS2,Misc,Activision,T,2008.0,71.0,0.0
2543,Wii,Action,Over 50 Under 150 Publisher,T,2009.0,48.0,0.0
2545,PSP,Sports,Konami Digital Entertainment,E,2010.0,74.0,0.0
2546,GC,Role-Playing,Ubisoft,E,2003.0,79.0,0.0
2549,PS3,Action,Capcom,M,2013.0,85.0,0.0
2550,PS,Racing,Take-Two Interactive,E,2001.0,34.0,0.0
2552,X360,Action,THQ,M,2012.0,83.0,0.0
2553,X360,Racing,Electronic Arts,E10+,2013.0,76.0,0.0
2554,X360,Action,Activision,M,2012.0,74.0,0.0
2557,PS2,Simulation,Konami Digital Entertainment,E10+,2007.0,70.0,0.0
2558,PS2,Simulation,Ubisoft,T,2000.0,78.0,0.0
2560,X360,Action,Electronic Arts,M,2009.0,65.0,0.0
2561,X360,Role-Playing,Capcom,M,2012.0,75.0,0.0
2562,PS4,Sports,Konami Digital Entertainment,E,2015.0,87.0,0.0
2565,XOne,Misc,Over 50 Under 150 Publisher,M,2015.0,84.0,0.0
2566,X360,Misc,Activision,E10+,2009.0,76.0,0.0
2567,PS2,Sports,Electronic Arts,E,2007.0,83.0,0.0
2568,XB,Sports,Electronic Arts,E,2003.0,82.0,0.0
2569,PSP,Simulation,Electronic Arts,E10+,2007.0,64.0,0.0
2570,X360,Role-Playing,Over 50 Under 150 Publisher,T,2009.0,72.0,0.0
2571,PS3,Shooter,Under 50 Games Publisher,M,2011.0,53.0,0.0
2572,PSP,Strategy,Sony Computer Entertainment,E10+,2009.0,69.0,0.0
2575,PS3,Sports,Take-Two Interactive,T,2014.0,55.0,0.0
2576,X360,Role-Playing,Over 50 Under 150 Publisher,T,2008.0,65.0,0.0
2578,PS3,Sports,Electronic Arts,E,2009.0,81.0,0.0
2579,GBA,Platform,Over 50 Under 150 Publisher,E,2002.0,71.0,0.0
2581,X360,Action,Ubisoft,M,2006.0,85.0,0.0
2583,X360,Fighting,Namco Bandai Games,T,2010.0,74.0,0.0
2584,DS,Role-Playing,Nintendo,E10+,2010.0,79.0,0.0
2585,X360,Fighting,Electronic Arts,M,2011.0,86.0,0.0
2587,X360,Action,Over 50 Under 150 Publisher,M,2013.0,57.0,0.0
2590,DS,Action,Over 50 Under 150 Publisher,E10+,2008.0,68.0,0.0
2591,DS,Role-Playing,Over 50 Under 150 Publisher,T,2007.0,88.0,0.0
2592,DS,Action,THQ,E,2007.0,73.0,0.0
2593,PS3,Strategy,Take-Two Interactive,E10+,2008.0,85.0,0.0
2594,PS2,Sports,Take-Two Interactive,E,2006.0,81.0,0.0
2597,GC,Shooter,Electronic Arts,T,2002.0,80.0,0.0
2599,PS3,Shooter,Activision,T,2011.0,72.0,0.0
2601,X360,Platform,Ubisoft,E10+,2011.0,87.0,0.0
2603,X360,Shooter,Sega,M,2013.0,48.0,0.0
2604,X360,Misc,Over 50 Under 150 Publisher,T,2008.0,71.0,0.0
2608,Wii,Action,Sega,M,2009.0,81.0,0.0
2609,PSP,Racing,Electronic Arts,E,2008.0,57.0,0.0
2610,X360,Shooter,Over 50 Under 150 Publisher,M,2005.0,81.0,0.0
2611,PS2,Fighting,Electronic Arts,T,2005.0,53.0,0.0
2613,PS,Racing,Electronic Arts,E,1999.0,78.0,0.0
2614,Wii,Misc,Ubisoft,E10+,2011.0,66.0,0.0
2616,X360,Action,Capcom,M,2012.0,52.0,0.0
2617,X360,Sports,THQ,E,2011.0,70.0,0.0
2619,PSP,Strategy,THQ,E10+,2006.0,70.0,0.0
2623,GBA,Action,THQ,E,2002.0,38.0,0.0
2624,Wii,Shooter,Sega,T,2007.0,69.0,0.0
2626,PS2,Platform,Capcom,T,2001.0,84.0,0.0
2627,GBA,Platform,Nintendo,E,2005.0,77.0,0.0
2628,PS2,Sports,Over 50 Under 150 Publisher,E,2002.0,81.0,0.0
2629,PS2,Role-Playing,Atari,T,2002.0,45.0,0.0
2630,DS,Racing,Nintendo,E,2004.0,46.0,0.0
2631,PS3,Fighting,Namco Bandai Games,T,2009.0,57.0,0.0
2632,PSP,Action,Sony Computer Entertainment,T,2005.0,79.0,0.0
2633,DS,Sports,Nintendo,E,2008.0,69.0,0.0
2634,PS2,Platform,Sega,E10+,2008.0,66.0,0.0
2637,DS,Puzzle,Nintendo,E,2010.0,76.0,0.0
2641,XB,Racing,Atari,M,2004.0,56.0,0.0
2646,PS,Sports,Konami Digital Entertainment,E,1998.0,94.0,0.0
2647,PSP,Racing,Electronic Arts,T,2008.0,52.0,0.0
2648,DS,Shooter,Nintendo,T,2006.0,85.0,0.0
2649,WiiU,Action,Nintendo,M,2014.0,91.0,0.0
2650,PSP,Shooter,Over 50 Under 150 Publisher,T,2009.0,63.0,0.0
2657,PS2,Shooter,Sony Computer Entertainment,M,2004.0,65.0,0.0
2659,3DS,Simulation,Electronic Arts,T,2011.0,52.0,0.0
2660,XB,Fighting,Over 50 Under 150 Publisher,M,2004.0,81.0,0.0
2661,GBA,Adventure,Over 50 Under 150 Publisher,E,2004.0,39.0,0.0
2662,Wii,Misc,Activision,T,2009.0,87.0,0.0
2665,PC,Shooter,Under 5 Games Publisher,E10+,2011.0,95.0,0.0
2666,PS3,Shooter,Take-Two Interactive,M,2011.0,51.0,0.0
2667,Wii,Action,Over 50 Under 150 Publisher,T,2010.0,71.0,0.0
2674,Wii,Action,Electronic Arts,E10+,2009.0,60.0,0.0
2675,PS2,Platform,THQ,E,2008.0,67.0,0.0
2676,3DS,Puzzle,Nintendo,E10+,2013.0,81.0,0.0
2678,PS,Platform,Capcom,E,2000.0,76.0,0.0
2680,PS4,Shooter,Electronic Arts,M,2016.0,89.0,1.0
2681,PS3,Action,Sony Computer Entertainment,T,2006.0,55.0,0.0
2682,XOne,Action,Konami Digital Entertainment,M,2015.0,95.0,0.0
2683,X360,Sports,Take-Two Interactive,E,2006.0,81.0,0.0
2684,Wii,Puzzle,THQ,E,2009.0,58.0,0.0
2685,Wii,Action,Nintendo,E,2011.0,60.0,0.0
2686,PS3,Misc,Activision,T,2010.0,86.0,0.0
2687,PSP,Fighting,THQ,T,2008.0,72.0,0.0
2688,3DS,Action,Over 50 Under 150 Publisher,E10+,2012.0,72.0,0.0
2689,PS3,Fighting,Namco Bandai Games,T,2012.0,81.0,0.0
2690,PS2,Action,Activision,E,2004.0,69.0,0.0
2692,PS2,Shooter,Konami Digital Entertainment,M,2001.0,78.0,0.0
2696,PS4,Sports,Konami Digital Entertainment,E,2014.0,82.0,0.0
2697,XB,Sports,Activision,T,2004.0,83.0,0.0
2698,PSP,Sports,Electronic Arts,E,2005.0,75.0,0.0
2700,Wii,Adventure,Ubisoft,E10+,2010.0,62.0,0.0
2701,PS2,Fighting,Capcom,T,2001.0,81.0,0.0
2702,PS2,Sports,Electronic Arts,E,2006.0,76.0,0.0
2703,X360,Action,Under 5 Games Publisher,M,2008.0,69.0,0.0
2705,PSP,Shooter,Konami Digital Entertainment,T,2005.0,59.0,0.0
2706,DS,Role-Playing,Over 50 Under 150 Publisher,E10+,2007.0,80.0,0.0
2709,PS3,Action,Electronic Arts,T,2009.0,54.0,0.0
2710,PS3,Misc,Activision,E10+,2009.0,76.0,0.0
2711,PS2,Racing,Over 50 Under 150 Publisher,E,2001.0,79.0,0.0
2712,DS,Role-Playing,Over 50 Under 150 Publisher,E,2007.0,63.0,0.0
2715,PS3,Action,Electronic Arts,M,2009.0,67.0,0.0
2716,PSP,Fighting,Over 50 Under 150 Publisher,M,2006.0,70.0,0.0
2717,PSP,Racing,Electronic Arts,E,2009.0,69.0,0.0
2718,X360,Role-Playing,Namco Bandai Games,T,2014.0,91.0,0.0
2719,DS,Sports,Sega,E,2008.0,65.0,0.0
2720,PC,Action,Ubisoft,M,2011.0,80.0,0.0
2722,PS3,Action,Activision,M,2012.0,79.0,0.0
2723,XB,Racing,Take-Two Interactive,E10+,2005.0,84.0,0.0
2724,PS3,Action,Capcom,M,2013.0,74.0,0.0
2725,PSP,Shooter,Ubisoft,T,2007.0,60.0,0.0
2727,PS2,Sports,Electronic Arts,E,2001.0,74.0,0.0
2729,PS3,Shooter,THQ,M,2009.0,85.0,0.0
2732,PS3,Action,Namco Bandai Games,T,2011.0,77.0,0.0
2734,XB,Shooter,Atari,M,2002.0,83.0,0.0
2736,PC,Action,Electronic Arts,M,2011.0,86.0,0.0
2737,X360,Role-Playing,Atari,T,2008.0,79.0,0.0
2738,PS3,Sports,Sony Computer Entertainment,E,2013.0,87.0,0.0
2739,WiiU,Action,Over 50 Under 150 Publisher,E10+,2013.0,82.0,0.0
2740,Wii,Misc,Atari,E,2007.0,49.0,0.0
2742,GBA,Role-Playing,Nintendo,E,2003.0,72.0,0.0
2744,PS3,Role-Playing,Activision,T,2009.0,74.0,0.0
2745,PC,Role-Playing,Electronic Arts,M,2014.0,85.0,0.0
2746,PS3,Role-Playing,Sega,T,2010.0,72.0,0.0
2747,DS,Action,Activision,E,2008.0,55.0,0.0
2748,PS3,Action,Over 50 Under 150 Publisher,T,2007.0,55.0,0.0
2753,PS3,Sports,Electronic Arts,E,2007.0,79.0,0.0
2754,GBA,Platform,Nintendo,E,2004.0,55.0,0.0
2755,Wii,Simulation,Over 50 Under 150 Publisher,E,2008.0,76.0,0.0
2759,Wii,Fighting,THQ,T,2009.0,78.0,0.0
2760,3DS,Simulation,Nintendo,E,2012.0,76.0,0.0
2762,X360,Role-Playing,Over 50 Under 150 Publisher,T,2011.0,79.0,0.0
2764,XB,Platform,Atari,T,2001.0,80.0,0.0
2765,PS3,Fighting,Under 50 Games Publisher,T,2012.0,86.0,0.0
2767,PS3,Shooter,Over 50 Under 150 Publisher,T,2011.0,72.0,0.0
2768,X360,Sports,Electronic Arts,E10+,2010.0,88.0,0.0
2769,X360,Sports,Electronic Arts,E,2006.0,79.0,0.0
2771,XB,Strategy,THQ,M,2004.0,84.0,0.0
2772,PS4,Action,Over 50 Under 150 Publisher,E10+,2016.0,71.0,1.0
2773,PS2,Puzzle,Namco Bandai Games,E,2004.0,86.0,0.0
2774,WiiU,Misc,Ubisoft,E10+,2014.0,75.0,0.0
2776,PS4,Action,Over 50 Under 150 Publisher,E10+,2015.0,80.0,0.0
2777,PS3,Fighting,Namco Bandai Games,T,2012.0,74.0,0.0
2778,PS2,Sports,Over 50 Under 150 Publisher,E,2001.0,64.0,0.0
2779,GC,Shooter,Electronic Arts,T,2002.0,74.0,0.0
2780,DS,Simulation,Over 50 Under 150 Publisher,E,2007.0,65.0,0.0
2781,GBA,Action,Ubisoft,E10+,2005.0,73.0,0.0
2782,PS2,Action,Activision,T,2005.0,74.0,0.0
2783,Wii,Misc,Electronic Arts,E,2010.0,65.0,0.0
2787,DS,Platform,Ubisoft,E,2009.0,70.0,0.0
2790,PC,Strategy,Sega,T,2013.0,76.0,0.0
2791,PS2,Sports,Electronic Arts,E,2007.0,68.0,0.0
2792,PS3,Role-Playing,Over 50 Under 150 Publisher,T,2010.0,74.0,0.0
2793,XB,Shooter,Electronic Arts,M,2002.0,73.0,0.0
2794,Wii,Action,Activision,T,2009.0,55.0,0.0
2795,PS2,Sports,Electronic Arts,E,2006.0,79.0,0.0
2798,X360,Sports,Under 50 Games Publisher,E,2007.0,79.0,0.0
2800,3DS,Role-Playing,Over 50 Under 150 Publisher,M,2014.0,83.0,0.0
2801,PS4,Sports,Under 5 Games Publisher,E,2014.0,83.0,0.0
2802,PS,Fighting,Activision,T,2001.0,72.0,0.0
2803,DS,Platform,Nintendo,E,2005.0,86.0,0.0
2806,Wii,Sports,Electronic Arts,E,2009.0,77.0,0.0
2807,PS3,Sports,Sony Computer Entertainment,E,2009.0,90.0,0.0
2808,X360,Shooter,Take-Two Interactive,M,2014.0,74.0,0.0
2810,GBA,Puzzle,Atari,E,2002.0,82.0,0.0
2811,PC,Role-Playing,Namco Bandai Games,M,2015.0,93.0,0.0
2812,X360,Racing,Over 50 Under 150 Publisher,E,2011.0,84.0,0.0
2813,PS2,Simulation,Namco Bandai Games,T,2003.0,66.0,0.0
2814,PS3,Sports,Sony Computer Entertainment,E,2010.0,91.0,0.0
2815,X360,Racing,THQ,E,2009.0,75.0,0.0
2816,PS3,Racing,Activision,E10+,2010.0,81.0,0.0
2819,PC,Shooter,Electronic Arts,M,2010.0,87.0,0.0
2820,X360,Racing,Over 50 Under 150 Publisher,T,2011.0,87.0,0.0
2821,XB,Action,Electronic Arts,T,2002.0,79.0,0.0
2822,XB,Sports,Electronic Arts,E,2002.0,92.0,0.0
2823,X360,Sports,Electronic Arts,T,2007.0,86.0,0.0
2825,PC,Strategy,Take-Two Interactive,M,2012.0,89.0,0.0
2826,PSP,Action,Under 50 Games Publisher,E10+,2007.0,60.0,0.0
2827,PS2,Fighting,Sega,T,2003.0,93.0,0.0
2828,PC,Shooter,Electronic Arts,M,2007.0,91.0,0.0
2829,PS,Action,Over 50 Under 150 Publisher,M,2000.0,39.0,0.0
2830,DS,Simulation,Electronic Arts,E,2007.0,66.0,0.0
2831,PS2,Racing,Under 5 Games Publisher,E,2002.0,66.0,0.0
2832,GC,Fighting,Atari,T,2002.0,73.0,0.0
2833,PS,Racing,Over 50 Under 150 Publisher,E,2000.0,43.0,0.0
2835,PS2,Action,Konami Digital Entertainment,M,2003.0,85.0,0.0
2837,GC,Platform,Under 50 Games Publisher,E,2002.0,48.0,0.0
2838,GBA,Action,THQ,E,2004.0,46.0,0.0
2839,PS2,Action,THQ,E,2004.0,49.0,0.0
2840,PSP,Sports,Electronic Arts,E,2007.0,75.0,0.0
2845,PSP,Sports,Electronic Arts,E,2008.0,68.0,0.0
2847,X360,Sports,Electronic Arts,E,2008.0,77.0,0.0
2849,PS4,Action,Namco Bandai Games,T,2016.0,73.0,1.0
2850,PS3,Action,Over 50 Under 150 Publisher,T,2007.0,59.0,0.0
2853,X360,Sports,Electronic Arts,E,2008.0,83.0,0.0
2854,XB,Shooter,Activision,M,2005.0,77.0,0.0
2855,X360,Sports,Electronic Arts,E,2012.0,82.0,0.0
2856,Wii,Role-Playing,Over 50 Under 150 Publisher,T,2007.0,65.0,0.0
2857,X360,Role-Playing,Under 50 Games Publisher,M,2007.0,50.0,0.0
2858,GC,Sports,Activision,T,2003.0,89.0,0.0
2859,PSP,Action,Activision,T,2005.0,67.0,0.0
2861,X360,Sports,Electronic Arts,E,2007.0,81.0,0.0
2863,WiiU,Action,Activision,E10+,2014.0,86.0,0.0
2864,XB,Action,Activision,T,2001.0,58.0,0.0
2865,DS,Adventure,Capcom,T,2009.0,78.0,0.0
2866,PS2,Shooter,Sony Computer Entertainment,T,2003.0,73.0,0.0
2867,PS3,Adventure,Over 50 Under 150 Publisher,M,2011.0,79.0,0.0
2868,GC,Sports,Electronic Arts,E,2004.0,90.0,0.0
2869,GBA,Action,Under 50 Games Publisher,E,2001.0,67.0,0.0
2870,PS2,Racing,Atari,E,2001.0,84.0,0.0
2872,XB,Role-Playing,Over 50 Under 150 Publisher,M,2005.0,89.0,0.0
2873,X360,Role-Playing,Over 50 Under 150 Publisher,T,2008.0,68.0,0.0
2874,DS,Sports,Electronic Arts,E,2010.0,63.0,0.0
2877,PS4,Action,Over 50 Under 150 Publisher,E10+,2016.0,78.0,1.0
2878,X360,Sports,Electronic Arts,E10+,2011.0,86.0,0.0
2879,GBA,Strategy,Nintendo,E,2001.0,92.0,0.0
2880,PS2,Racing,Electronic Arts,E,2000.0,66.0,0.0
2883,PS2,Action,Under 5 Games Publisher,M,2004.0,65.0,0.0
2885,PSP,Platform,Sony Computer Entertainment,E,2005.0,66.0,0.0
2886,PS2,Simulation,Namco Bandai Games,T,2000.0,58.0,0.0
2887,PS3,Sports,Sony Computer Entertainment,E,2008.0,85.0,0.0
2888,PS2,Shooter,Over 50 Under 150 Publisher,T,2002.0,90.0,0.0
2889,X360,Simulation,Konami Digital Entertainment,T,2011.0,43.0,0.0
2890,X360,Racing,Ubisoft,T,2011.0,80.0,0.0
2891,GBA,Adventure,Nintendo,E,2004.0,73.0,0.0
2893,GBA,Platform,Over 50 Under 150 Publisher,E,2005.0,71.0,0.0
2894,PS3,Shooter,Activision,T,2010.0,65.0,0.0
2898,PSP,Action,Konami Digital Entertainment,T,2007.0,65.0,0.0
2899,Wii,Misc,Over 50 Under 150 Publisher,E10+,2009.0,70.0,0.0
2901,XB,Shooter,Over 50 Under 150 Publisher,M,2005.0,89.0,0.0
2902,PS2,Action,Over 50 Under 150 Publisher,M,2005.0,77.0,0.0
2907,X360,Sports,Ubisoft,T,2010.0,40.0,0.0
2908,PSP,Racing,THQ,E,2006.0,68.0,0.0
2909,GBA,Misc,Nintendo,E,2004.0,62.0,0.0
2912,GC,Fighting,Atari,T,2003.0,65.0,0.0
2915,XOne,Shooter,Electronic Arts,E10+,2014.0,76.0,0.0
2916,XOne,Racing,Electronic Arts,E10+,2013.0,75.0,0.0
2917,DS,Simulation,Electronic Arts,E,2008.0,50.0,0.0
2918,GC,Action,Electronic Arts,E,2002.0,77.0,0.0
2919,PS3,Action,Ubisoft,T,2010.0,75.0,0.0
2921,GC,Action,Electronic Arts,T,2003.0,84.0,0.0
2922,PC,Simulation,Electronic Arts,T,2011.0,77.0,0.0
2924,PS3,Sports,Take-Two Interactive,E,2011.0,82.0,0.0
2926,PS2,Role-Playing,Under 50 Games Publisher,T,2004.0,78.0,0.0
2927,GBA,Action,Activision,E,2004.0,63.0,0.0
2928,PS3,Simulation,Over 50 Under 150 Publisher,T,2009.0,81.0,0.0
2931,XB,Sports,Electronic Arts,E,2003.0,89.0,0.0
2933,X360,Racing,THQ,E,2007.0,70.0,0.0
2934,X360,Role-Playing,Over 50 Under 150 Publisher,M,2008.0,66.0,0.0
2935,XB,Sports,Electronic Arts,E,2004.0,89.0,0.0
2937,PS3,Platform,Sony Computer Entertainment,E10+,2010.0,85.0,0.0
2938,GC,Fighting,Under 5 Games Publisher,T,2003.0,72.0,0.0
2939,PS4,Shooter,Over 50 Under 150 Publisher,M,2014.0,67.0,0.0
2940,PS2,Action,Ubisoft,M,2005.0,85.0,0.0
2941,PSP,Sports,Sony Computer Entertainment,E,2007.0,82.0,0.0
2944,PS,Role-Playing,Konami Digital Entertainment,T,1998.0,82.0,0.0
2945,PS3,Action,Sega,T,2008.0,42.0,0.0
2946,XB,Sports,Electronic Arts,E,2005.0,80.0,0.0
2947,XB,Fighting,Electronic Arts,T,2004.0,85.0,0.0
2949,PS2,Role-Playing,Atari,T,2002.0,76.0,0.0
2950,XOne,Shooter,Over 50 Under 150 Publisher,M,2014.0,79.0,0.0
2951,DS,Racing,THQ,E,2007.0,69.0,0.0
2952,PSP,Action,Over 50 Under 150 Publisher,E10+,2010.0,71.0,0.0
2953,PS2,Misc,Over 50 Under 150 Publisher,M,2004.0,74.0,0.0
2954,Wii,Action,Nintendo,E10+,2012.0,82.0,0.0
2955,XB,Shooter,Activision,M,2003.0,84.0,0.0
2956,PC,Role-Playing,Under 50 Games Publisher,T,2011.0,84.0,0.0
2957,PS3,Platform,Activision,T,2007.0,60.0,0.0
2959,PC,Role-Playing,Electronic Arts,M,2008.0,89.0,0.0
2965,XOne,Action,Over 50 Under 150 Publisher,M,2014.0,79.0,0.0
2966,PS2,Simulation,Under 50 Games Publisher,T,2002.0,74.0,0.0
2967,XB,Shooter,Activision,T,2005.0,78.0,0.0
2970,PS4,Action,Over 50 Under 150 Publisher,E10+,2014.0,71.0,0.0
2971,PS3,Action,Under 5 Games Publisher,M,2008.0,67.0,0.0
2973,X360,Action,Over 50 Under 150 Publisher,T,2013.0,81.0,0.0
2974,Wii,Shooter,Ubisoft,T,2006.0,63.0,0.0
2979,PS3,Shooter,Over 50 Under 150 Publisher,M,2007.0,86.0,0.0
2981,DS,Role-Playing,Nintendo,E,2010.0,68.0,0.0
2982,DS,Simulation,Electronic Arts,E,2010.0,73.0,0.0
2986,PS,Simulation,Take-Two Interactive,E,1999.0,69.0,0.0
2987,XB,Sports,Electronic Arts,E,2004.0,81.0,0.0
2988,DS,Role-Playing,Over 50 Under 150 Publisher,E10+,2007.0,77.0,0.0
2989,Wii,Action,Activision,E,2009.0,62.0,0.0
2990,PS3,Simulation,Ubisoft,T,2006.0,67.0,0.0
2991,PSP,Fighting,THQ,T,2006.0,78.0,0.0
2993,PS4,Racing,Over 50 Under 150 Publisher,E,2015.0,65.0,0.0
2994,PS2,Sports,Activision,T,2007.0,65.0,0.0
2995,PS3,Shooter,Take-Two Interactive,M,2007.0,80.0,0.0
2997,PS2,Sports,Sony Computer Entertainment,E,2003.0,61.0,0.0
3001,PS,Role-Playing,Electronic Arts,T,2001.0,58.0,0.0
3002,PS2,Sports,Electronic Arts,E,2002.0,74.0,0.0
3004,XB,Action,THQ,E,2003.0,63.0,0.0
3005,PS2,Strategy,Atari,E10+,2006.0,69.0,0.0
3008,GC,Platform,Activision,E10+,2005.0,70.0,0.0
3009,X360,Action,Konami Digital Entertainment,M,2010.0,83.0,0.0
3011,X360,Sports,Electronic Arts,E10+,2009.0,88.0,0.0
3017,PS2,Fighting,Capcom,T,2004.0,78.0,0.0
3019,X360,Sports,Electronic Arts,E10+,2012.0,83.0,0.0
3020,PC,Strategy,Sega,T,2010.0,81.0,0.0
3023,WiiU,Platform,Ubisoft,E10+,2013.0,92.0,0.0
3024,GC,Simulation,Electronic Arts,T,2003.0,81.0,0.0
3025,PC,Shooter,Take-Two Interactive,M,2013.0,94.0,0.0
3027,PSP,Action,THQ,E,2007.0,64.0,0.0
3028,PS3,Action,Over 50 Under 150 Publisher,M,2012.0,67.0,0.0
3029,PS3,Strategy,Ubisoft,T,2008.0,76.0,0.0
3030,GBA,Action,Under 50 Games Publisher,E,2002.0,71.0,0.0
3031,PS2,Role-Playing,Konami Digital Entertainment,T,2004.0,63.0,0.0
3032,PSP,Action,Namco Bandai Games,T,2010.0,71.0,0.0
3033,PS3,Action,Under 50 Games Publisher,M,2010.0,60.0,0.0
3035,GBA,Platform,Over 50 Under 150 Publisher,E,2004.0,77.0,0.0
3036,PS3,Action,Namco Bandai Games,T,2013.0,71.0,0.0
3038,XB,Shooter,Ubisoft,M,2005.0,88.0,0.0
3041,XOne,Action,Over 50 Under 150 Publisher,E10+,2015.0,70.0,0.0
3042,PS2,Action,Activision,E10+,2008.0,73.0,0.0
3043,PSV,Role-Playing,Sony Computer Entertainment,T,2014.0,73.0,0.0
3047,PS3,Sports,Ubisoft,T,2008.0,63.0,0.0
3048,PS2,Role-Playing,Over 50 Under 150 Publisher,T,2005.0,74.0,0.0
