,Platform,Genre,Publisher,Rating,Year_of_Release,Critic_Score,BINARY_Hits
138,PC,Role-Playing,Activision,T,2004.0,93.0,1.0
139,PS,Action,Under 5 Games Publisher,T,1999.0,87.0,1.0
140,X360,Shooter,Over 50 Under 150 Publisher,M,2011.0,91.0,1.0
141,X360,Sports,Over 50 Under 150 Publisher,E10+,2010.0,73.0,1.0
142,X360,Shooter,Over 50 Under 150 Publisher,M,2006.0,94.0,1.0
143,PS4,Sports,Electronic Arts,E,2014.0,82.0,1.0
144,PS2,Action,Konami Digital Entertainment,M,2001.0,96.0,1.0
146,PS,Action,Konami Digital Entertainment,M,1998.0,94.0,1.0
147,PS3,Action,Konami Digital Entertainment,M,2008.0,94.0,1.0
148,PS2,Role-Playing,Over 50 Under 150 Publisher,T,2006.0,92.0,1.0
149,PS3,Action,Under 50 Games Publisher,M,2013.0,95.0,1.0
150,PS3,Platform,Sony Computer Entertainment,E,2008.0,95.0,1.0
151,PS,Action,Under 50 Games Publisher,M,1998.0,89.0,1.0
152,DS,Role-Playing,Nintendo,E10+,2009.0,87.0,1.0
153,PS,Fighting,Sony Computer Entertainment,T,1996.0,89.0,1.0
154,PS4,Shooter,Activision,T,2014.0,76.0,1.0
155,Wii,Action,Over 50 Under 150 Publisher,E10+,2007.0,80.0,1.0
156,DS,Simulation,Over 50 Under 150 Publisher,E,2006.0,67.0,1.0
159,PS3,Action,Ubisoft,M,2009.0,91.0,1.0
160,X360,Adventure,Ubisoft,M,2007.0,81.0,1.0
161,X360,Racing,Over 50 Under 150 Publisher,E,2009.0,92.0,1.0
162,GBA,Platform,Nintendo,E,2001.0,84.0,1.0
163,PSP,Role-Playing,Capcom,T,2008.0,81.0,1.0
164,PS3,Action,Over 50 Under 150 Publisher,T,2011.0,96.0,1.0
165,XOne,Action,Take-Two Interactive,M,2014.0,97.0,1.0
166,GBA,Racing,Nintendo,E,2001.0,93.0,1.0
169,PS2,Platform,Under 50 Games Publisher,E,2001.0,66.0,1.0
170,PS3,Shooter,Activision,M,2008.0,85.0,1.0
171,PS4,Shooter,Sony Computer Entertainment,T,2016.0,93.0,1.0
173,PS3,Role-Playing,Over 50 Under 150 Publisher,T,2009.0,83.0,1.0
175,PS,Role-Playing,Under 50 Games Publisher,T,2000.0,94.0,1.0
176,X360,Action,Ubisoft,M,2012.0,84.0,1.0
177,PS2,Role-Playing,Electronic Arts,T,2003.0,85.0,1.0
179,XOne,Shooter,Activision,M,2014.0,81.0,1.0
181,X360,Action,Ubisoft,M,2009.0,90.0,1.0
182,PS,Action,Over 50 Under 150 Publisher,T,1997.0,85.0,1.0
184,WiiU,Platform,Nintendo,E,2012.0,84.0,1.0
185,PS2,Role-Playing,Over 50 Under 150 Publisher,T,2004.0,89.0,1.0
187,DS,Puzzle,Nintendo,E,2007.0,85.0,1.0
189,X360,Action,Electronic Arts,E,2012.0,90.0,1.0
191,PC,Role-Playing,Activision,M,2012.0,88.0,1.0
192,PS2,Shooter,Electronic Arts,T,2003.0,68.0,1.0
195,PS2,Misc,Under 5 Games Publisher,T,2006.0,92.0,1.0
196,X360,Role-Playing,Over 50 Under 150 Publisher,M,2010.0,80.0,1.0
198,PS3,Action,Capcom,M,2009.0,84.0,1.0
199,DS,Action,Nintendo,E,2007.0,90.0,1.0
201,PS3,Sports,Electronic Arts,E,2010.0,89.0,1.0
202,PS,Action,Under 50 Games Publisher,M,1996.0,91.0,1.0
203,PSP,Action,Take-Two Interactive,M,2006.0,86.0,1.0
204,PS,Sports,Activision,T,1999.0,92.0,1.0
207,PS2,Misc,Activision,T,2007.0,82.0,1.0
208,Wii,Shooter,Nintendo,T,2007.0,68.0,1.0
210,X360,Role-Playing,Over 50 Under 150 Publisher,M,2008.0,93.0,1.0
211,PS3,Action,Sony Computer Entertainment,T,2007.0,88.0,1.0
212,PS2,Sports,Electronic Arts,E,2005.0,88.0,1.0
217,PC,Strategy,Activision,T,2010.0,93.0,1.0
218,PS3,Adventure,Ubisoft,M,2007.0,81.0,1.0
219,PS3,Action,Sony Computer Entertainment,M,2010.0,92.0,1.0
220,PS,Racing,Sony Computer Entertainment,E,1999.0,88.0,1.0
221,DS,Action,Over 50 Under 150 Publisher,E,2007.0,80.0,1.0
222,PS,Action,Atari,T,2000.0,62.0,1.0
223,X360,Action,Over 50 Under 150 Publisher,T,2011.0,94.0,1.0
226,PS,Sports,Activision,T,2000.0,98.0,1.0
227,PS2,Action,Electronic Arts,T,2002.0,82.0,1.0
228,PS,Action,Over 50 Under 150 Publisher,T,1996.0,91.0,1.0
229,Wii,Simulation,Nintendo,E,2008.0,73.0,1.0
230,PS4,Action,Sony Computer Entertainment,T,2015.0,86.0,1.0
232,GC,Action,Nintendo,E,2002.0,96.0,1.0
233,Wii,Misc,Activision,T,2007.0,86.0,1.0
234,3DS,Action,Nintendo,E,2013.0,86.0,1.0
235,X360,Racing,Over 50 Under 150 Publisher,E,2011.0,91.0,1.0
237,PS2,Sports,Electronic Arts,E,2004.0,91.0,1.0
238,X360,Misc,Activision,T,2007.0,85.0,1.0
240,PS2,Sports,Electronic Arts,E,2006.0,84.0,1.0
241,XOne,Shooter,Over 50 Under 150 Publisher,T,2015.0,84.0,1.0
242,PS2,Action,Activision,E,2002.0,76.0,1.0
244,PS4,Shooter,Activision,M,2016.0,77.0,1.0
245,PS2,Action,Sony Computer Entertainment,M,2005.0,94.0,1.0
246,WiiU,Shooter,Nintendo,E10+,2015.0,81.0,1.0
247,WiiU,Misc,Nintendo,E10+,2012.0,77.0,1.0
248,PS2,Sports,Activision,T,2001.0,97.0,1.0
249,PS2,Sports,Konami Digital Entertainment,E,2006.0,86.0,1.0
250,X360,Role-Playing,Take-Two Interactive,M,2006.0,94.0,1.0
252,PS2,Racing,Electronic Arts,T,2005.0,82.0,1.0
253,Wii,Misc,Ubisoft,E10+,2010.0,56.0,1.0
255,PS3,Shooter,Sony Computer Entertainment,M,2006.0,86.0,1.0
257,PS2,Role-Playing,Over 50 Under 150 Publisher,E10+,2005.0,87.0,1.0
259,WiiU,Platform,Nintendo,E,2013.0,93.0,1.0
264,X360,Role-Playing,Over 50 Under 150 Publisher,M,2008.0,89.0,1.0
265,GBA,Misc,Namco Bandai Games,E,2001.0,79.0,1.0
266,PS3,Action,Over 50 Under 150 Publisher,T,2009.0,91.0,1.0
267,PS2,Action,Konami Digital Entertainment,M,2004.0,91.0,1.0
268,PS3,Action,Ubisoft,M,2011.0,80.0,1.0
269,XOne,Role-Playing,Over 50 Under 150 Publisher,M,2015.0,88.0,1.0
270,X360,Sports,Electronic Arts,E,2013.0,84.0,1.0
271,PSP,Platform,Sony Computer Entertainment,E10+,2006.0,85.0,1.0
273,PS2,Sports,Electronic Arts,E,2005.0,80.0,1.0
274,PS2,Misc,Sony Computer Entertainment,E,2003.0,80.0,1.0
275,PS3,Racing,Sony Computer Entertainment,E,2007.0,80.0,1.0
276,X360,Action,Ubisoft,M,2011.0,80.0,1.0
279,PS3,Fighting,Capcom,T,2009.0,94.0,1.0
282,PS2,Sports,Electronic Arts,E,2002.0,95.0,1.0
283,PC,Shooter,Over 50 Under 150 Publisher,M,1997.0,96.0,1.0
287,PC,Role-Playing,Activision,T,2007.0,91.0,1.0
288,PS4,Shooter,Electronic Arts,M,2016.0,88.0,1.0
289,PS2,Action,Sony Computer Entertainment,M,2007.0,93.0,1.0
291,X360,Role-Playing,Over 50 Under 150 Publisher,M,2010.0,84.0,1.0
292,X360,Racing,Over 50 Under 150 Publisher,E,2007.0,90.0,1.0
293,Wii,Misc,Take-Two Interactive,E,2007.0,56.0,1.0
294,PS4,Action,Ubisoft,M,2014.0,80.0,1.0
296,PS2,Fighting,Namco Bandai Games,T,2000.0,85.0,1.0
297,PS4,Shooter,Ubisoft,M,2014.0,85.0,1.0
300,PS2,Misc,Namco Bandai Games,E10+,2005.0,61.0,1.0
301,X360,Shooter,Electronic Arts,M,2009.0,89.0,1.0
302,PS4,Role-Playing,Namco Bandai Games,M,2015.0,92.0,1.0
303,PS4,Action,Ubisoft,M,2014.0,70.0,1.0
304,PS4,Action,Over 50 Under 150 Publisher,M,2015.0,87.0,1.0
305,Wii,Action,Nintendo,E10+,2011.0,93.0,1.0
306,PS3,Role-Playing,Over 50 Under 150 Publisher,M,2008.0,90.0,1.0
307,DS,Puzzle,Nintendo,E10+,2007.0,84.0,1.0
309,Wii,Sports,Electronic Arts,E,2009.0,81.0,1.0
310,PS2,Sports,Activision,T,2003.0,90.0,1.0
311,3DS,Role-Playing,Nintendo,T,2014.0,86.0,1.0
312,PC,Role-Playing,Over 50 Under 150 Publisher,M,2011.0,94.0,1.0
313,PS4,Sports,Take-Two Interactive,E10+,2015.0,87.0,1.0
314,PS2,Fighting,Namco Bandai Games,T,2005.0,88.0,1.0
316,PS3,Racing,Sony Computer Entertainment,T,2006.0,84.0,1.0
318,PS2,Sports,Konami Digital Entertainment,E,2004.0,91.0,1.0
319,PS3,Sports,Sony Computer Entertainment,E10+,2010.0,76.0,1.0
322,PS4,Shooter,Activision,M,2013.0,78.0,1.0
323,DS,Misc,Nintendo,E,2007.0,59.0,1.0
324,PS4,Shooter,Ubisoft,M,2016.0,80.0,1.0
325,Wii,Misc,Nintendo,E,2007.0,68.0,1.0
328,X360,Action,Activision,E10+,2008.0,77.0,1.0
329,PC,Simulation,Electronic Arts,T,2002.0,79.0,1.0
331,PS,Action,Electronic Arts,E,2001.0,64.0,1.0
334,Wii,Platform,Nintendo,E,2007.0,85.0,1.0
335,PS,Platform,Sony Computer Entertainment,E,2000.0,91.0,1.0
336,PS3,Action,Ubisoft,M,2013.0,88.0,1.0
337,PS2,Sports,Electronic Arts,E,2004.0,81.0,1.0
340,PS2,Sports,Activision,T,2002.0,94.0,1.0
342,DS,Simulation,Electronic Arts,E,2007.0,67.0,1.0
343,PSP,Racing,Take-Two Interactive,E10+,2005.0,74.0,1.0
345,PS2,Shooter,Sony Computer Entertainment,M,2002.0,82.0,1.0
346,PS2,Platform,Sony Computer Entertainment,E,2001.0,90.0,1.0
348,PS2,Sports,Konami Digital Entertainment,E,2007.0,82.0,1.0
349,PS2,Action,Capcom,M,2005.0,96.0,1.0
350,Wii,Misc,Activision,T,2008.0,86.0,1.0
351,PS3,Sports,Electronic Arts,E,2009.0,91.0,1.0
352,PS2,Shooter,Over 50 Under 150 Publisher,T,2004.0,82.0,1.0
354,PS2,Racing,Electronic Arts,T,2001.0,64.0,1.0
355,GC,Action,Nintendo,E,2001.0,78.0,1.0
356,PS4,Shooter,Electronic Arts,M,2013.0,85.0,1.0
357,PS2,Shooter,Over 50 Under 150 Publisher,T,2005.0,84.0,1.0
