Name,Platform,Year_of_Release,Genre,Publisher,TOTAL_SALES_2019,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Developer,Rating
Dragon Star Varnir,PS4,2019,Role-Playing,Compile Heart,0.02,,,0.02,,,,Compile Heart,RP
Super Neptunia RPG,PS4,2019,Role-Playing,Idea Factory International,0.01,,,0.01,,,,Idea Factory,RP
Onimusha: Warlords,NS,2019,Action-Adventure,Capcom,0.01,,,0.01,,,,Capcom,
The Princess Guide,PS4,2019,Role-Playing,NIS America,0.01,,,0.01,,,,Nippon Ichi Software,
The Princess Guide,NS,2019,Role-Playing,NIS America,0.01,,,0.01,,,,Nippon Ichi Software,
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,3DS,2019,Role-Playing,Nintendo,0.01,,,0.01,,,,AlphaDream Corporation,E
RPG Maker MV,NS,2019,Misc,NIS America,0.01,,,0.01,,,,Kadokawa Games,E10
RPG Maker MV,PS4,2019,Misc,NIS America,0.01,,,0.01,,,,Kadokawa Games,E10
Fitness Boxing,NS,2019,Music,Nintendo,0,,,0,,7,,Imagineer,T
Deemo: The Last Recital,NS,2019,Music,PM Studios,0,,,0,,,,Rayark Inc.,E
Red Dead Redemption 2,PS4,2018,Action-Adventure,Rockstar Games,13.94,5.26,6.21,0.21,2.26,9.8,,Rockstar Games,M
Super Smash Bros. Ultimate,NS,2018,Fighting,Nintendo,12.08,,,,,9.4,9.7,Bandai Namco Games,E10
"Pokemon: Let's Go, Pikachu/Eevee",NS,2018,Role-Playing,Nintendo,10,,,,,,,Game Freak,E
Call of Duty: Black Ops IIII,PS4,2018,Shooter,Activision,9.32,4.05,3.28,0.5,1.49,,,Treyarch,M
FIFA 19,PS4,2018,Sports,Electronic Arts,9.15,0.84,6.87,0.1,1.34,,,EA Sports,E
Rust,PC,2018,Action-Adventure,Facepunch Studios,9.15,,,,,6.1,,Facepunch Studios,
Marvel's Spider-Man,PS4,2018,Action-Adventure,Sony Interactive Entertainment,9,,,,,9.1,,Insomniac Games,T
God of War (2018),PS4,2018,Action,Sony Interactive Entertainment,6.15,2.83,2.17,0.13,1.02,9.7,,SIE Santa Monica Studio,M
Red Dead Redemption 2,XOne,2018,Action-Adventure,Rockstar Games,5.77,3.76,1.47,,0.54,,,Rockstar Games,M
Super Mario Party,NS,2018,Party,Nintendo,5.3,,,,,7.3,,"Nd Cube Co., Ltd.",E
Call of Duty: Black Ops IIII,XOne,2018,Shooter,Activision,4.85,3.27,1.12,,0.46,,,Treyarch,M
Monster Hunter: World,PS4,2018,Action,Capcom,4.67,1.03,1.06,2.17,0.42,9.3,9,Capcom,T
"Pokemon: Let's Go, Pikachu!",NS,2018,Role-Playing,Nintendo,4.57,2.16,1.24,0.82,0.34,8.3,,Game Freak,E
Far Cry 5,PS4,2018,Action,Ubisoft,3.95,1.44,1.73,0.15,0.62,7.9,,Ubisoft,M
World of Warcraft: Battle for Azeroth,PC,2018,MMO,Blizzard Entertainment,3.4,,,,,,,Blizzard Entertainment,
Assassin's Creed Odyssey,PS4,2018,Action-Adventure,Ubisoft,3.18,1.18,1.4,0.09,0.51,9.5,,Ubisoft Quebec,M
Subnautica,PC,2018,Adventure,Unknown Worlds Entertainment,2.87,,,,,,,Unknown Worlds Entertainment,E10
"Pokemon: Let's Go, Eevee!",NS,2018,Role-Playing,Nintendo,2.73,1.22,0.8,0.51,0.2,8.3,,Game Freak,E
NBA 2K19,PS4,2018,Sports,2K Sports,2.63,1.69,0.44,0.03,0.47,,,Visual Concepts,E
Mario Tennis Aces,NS,2018,Sports,Nintendo,2.53,,,,,7.8,,Camelot Software Planning,E
Kirby Star Allies,NS,2018,Platform,Nintendo,2.42,,,,,8.1,10,HAL Laboratory,E10
Battlefield V,PS4,2018,Shooter,Electronic Arts,2.22,0.8,0.93,0.16,0.34,,,EA DICE,M
FIFA 19,XOne,2018,Sports,Electronic Arts,2.22,0.56,1.5,,0.16,,,EA Sports,E
Madden NFL 19,PS4,2018,Sports,EA Sports,2.21,1.63,0.18,,0.41,,,EA Tiburon,
Yokai Watch Blasters: Red Cat Corps / White Dog Squad,3DS,2018,Role-Playing,Nintendo,2.2,,,,,,,Level 5,E10
Spyro Reignited Trilogy,PS4,2018,Platform,Activision,2.17,0.75,1.07,,0.35,,,Toys for Bob,
Donkey Kong Country: Tropical Freeze,NS,2018,Platform,Nintendo,2.08,,,,,9.1,9.1,Retro Studios,E
Dragon Quest XI: Echoes of an Elusive Age,PS4,2018,Role-Playing,Square Enix,2.04,0.29,0.22,1.43,0.1,10,,Square Enix,T
Detroit: Become Human,PS4,2018,Adventure,Sony Interactive Entertainment,2,,,,,8,,Quantic Dream,M
Minecraft,NS,2018,Sandbox,Mojang,1.89,0.69,0.56,0.52,0.12,9.2,,4J Studios,E10
