Name,Platform,Year_of_Release,Genre,Publisher,TOTAL_SALES_2019,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Developer,Rating
Kirby: Mass Attack,DS,2011,Platform,Nintendo,1.22,,,,,8.4,,HAL Laboratory,E
F1 2011,PS3,2011,Racing,Codemasters,1.2,0.12,0.75,0.11,0.23,8.4,,Codemasters Birmingham,E
LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts,1.18,0.52,0.47,,0.19,8,,Traveller's Tales,E10
WWE '12,PS3,2011,Fighting,THQ,1.18,0.53,0.45,0.02,0.17,9,,"Yuke's Co., Ltd.",T
Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft,1.16,0.7,0.36,,0.1,,,Ubisoft Montreal,E
Ratchet & Clank: All 4 One,PS3,2011,Platform,Sony Computer Entertainment,1.15,0.75,0.22,0.05,0.13,7.5,,Insomniac Games,E10
LEGO Star Wars III: The Clone Wars,3DS,2011,Action,LucasArts,1.14,0.61,0.44,,0.09,6.7,,Traveller's Tales,E10
Mortal Kombat,X360,2011,Fighting,Warner Bros. Interactive,1.14,0.85,0.19,,0.1,8.3,,NetherRealm Studios,M
Rocksmith,X360,2011,Misc,Ubisoft,1.13,0.85,0.19,0.01,0.08,8,,Ubisoft,T
Rocksmith,PS3,2011,Misc,Ubisoft,1.13,0.53,0.38,0.09,0.13,8,,Ubisoft,T
Fight Night Champion,PS3,2011,Fighting,EA Sports,1.13,0.45,0.5,,0.18,8.4,,EA Canada,M
Dragon Age II,X360,2011,Role-Playing,Electronic Arts,1.12,0.72,0.29,0.01,0.09,8,,BioWare Corp.,M
Plants vs. Zombies,DS,2011,Strategy,PopCap Games,1.11,0.9,0.13,,0.09,8.1,,PopCap Games,E10
Metal Gear Solid HD Collection,PS3,2011,Action,Konami Digital Entertainment,1.11,0.52,0.44,,0.14,,,Bluepoint Games,M
Orcs Must Die!,PC,2011,Strategy,Unknown,1.11,,,,,8.5,,Robot Entertainment,T
LEGO Star Wars III: The Clone Wars,DS,2011,Action,LucasArts,1.1,0.62,0.38,,0.1,6.3,,Traveller's Tales,E
"Warhammer 40,000: Space Marine",PC,2011,Shooter,THQ,1.1,,,,,7.7,,Relic Entertainment,M
F.E.A.R. 3,PC,2011,Shooter,Warner Bros. Interactive,1.1,,,,,7.5,,Day 1 Studios,M
To the Moon,PC,2011,Misc,Unknown,1.09,,,,,8.5,,Freebird Games,
Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011,Fighting,Capcom,1.07,0.79,0.18,0.03,0.08,8.4,,Capcom,T
DiRT 3,PS3,2011,Racing,Codemasters,1.06,0.27,0.58,0.01,0.2,9,,Codemasters,T
Sonic Generations,3DS,2011,Platform,Sega,1.06,0.44,0.52,0.01,0.08,6.3,,Sonic Team,E
Disney Universe,Wii,2011,Action,Disney Interactive Studios,1.05,0.66,0.28,,0.1,,,Disney Interactive Studios,E10
LEGO Pirates of the Caribbean: The Video Game,X360,2011,Action,Disney Interactive Studios,1.04,0.54,0.4,,0.1,7.2,,Traveller's Tales,E10
Brink,X360,2011,Shooter,Bethesda Softworks,1.04,0.59,0.35,0.01,0.09,6.8,,Splash Damage,T
Bulletstorm,X360,2011,Shooter,Electronic Arts,1.02,0.61,0.32,0.01,0.08,8.5,,People Can Fly,M
LEGO Harry Potter: Years 5-7,X360,2011,Action,Warner Bros. Interactive,1.01,0.51,0.41,,0.09,,,Traveller's Tales,E10
Rayman Origins,PS3,2011,Platform,Ubisoft,1,0.33,0.5,0.01,0.16,8.5,,Ubisoft,E10
NCAA Football 12,X360,2011,Sports,EA Sports,1,0.94,,,0.06,7.8,,EA Tiburon,E
The Witcher 2: Assassins of Kings,PC,2011,Role-Playing,Atari,0.98,0.27,0.56,,0.14,8.8,,CD Projekt Red Studio,M
Dragon Quest X,Wii,2011,MMO,Unknown,0.97,,,0.97,,,,Square Enix,
Skylanders: Spyro's Adventure,X360,2011,Action,Activision,0.97,0.53,0.34,,0.1,,,Toys for Bob,E10
Star Fox 64 3D,3DS,2011,Shooter,Nintendo,0.96,0.48,0.29,0.13,0.07,8,,Nintendo EAD,E10
LEGO Pirates of the Caribbean: The Video Game,PS3,2011,Action,Disney Interactive Studios,0.96,0.36,0.44,,0.16,7.4,,Traveller's Tales,E10
PilotWings Resort,3DS,2011,Simulation,Nintendo,0.96,0.4,0.36,0.13,0.07,6.9,,Monster Games,E
LEGO Harry Potter: Years 5-7,PS3,2011,Action,Warner Bros. Interactive,0.95,0.36,0.45,,0.15,9,,Traveller's Tales,E10
Driver: San Francisco,PS3,2011,Racing,Ubisoft,0.95,0.24,0.53,0.01,0.17,8.2,,Ubisoft Reflections,T
Wipeout: In The Zone,X360,2011,Misc,Activision,0.95,0.87,,,0.08,,,Activision,E10
Skylanders: Spyro's Adventure,PS3,2011,Action,Activision,0.94,0.39,0.4,,0.15,8,,Toys for Bob,E10
Kingdom Hearts Re:coded,DS,2011,Role-Playing,Square Enix,0.93,0.53,0.09,0.27,0.05,6.8,,High Horse Entertainment,E10
Monster High: Ghoul Spirit,DS,2011,Adventure,THQ,0.93,0.69,0.16,,0.07,,,THQ,E
Dynasty Warriors 7,PS3,2011,Action,Tecmo Koei,0.91,0.25,0.14,0.46,0.06,5.8,,Omega Force,T
LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,Disney Interactive Studios,0.91,0.34,0.47,,0.1,6.8,,Traveller's Tales,E10
Homefront,PS3,2011,Shooter,THQ,0.9,0.32,0.4,0.04,0.15,6.6,,Kaos Studios,M
Cars 2,Wii,2011,Racing,Disney Interactive Studios,0.9,0.43,0.38,,0.1,8,,Avalanche Software,E10
SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,0.9,0.66,0.12,0.04,0.09,7,,Zipper Interactive,M
Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,EA Sports,0.89,0.52,0.25,,0.11,,,EA Tiburon,E
Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix,0.89,0.21,0.13,0.46,0.09,8.3,,Square Enix,T
The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,0.89,0.27,0.48,,0.14,8.5,,Crystal Dynamics,T
Duke Nukem Forever,PC,2011,Shooter,2K Games,0.89,,,,,4.6,,Gearbox Software,M
The Lord of the Rings: War in the North,X360,2011,Role-Playing,Warner Bros. Interactive,0.88,0.55,0.24,0,0.08,6.6,,Snowblind Studios,M
Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.87,0.62,0.18,0,0.07,5.6,,Ubisoft Montreal,E10
NCAA Football 12,PS3,2011,Sports,EA Sports,0.83,0.78,,,0.06,7.7,,EA Tiburon,E
Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,0.83,0.55,0.2,,0.08,4.5,,Infinity Ward,M
Duke Nukem Forever,X360,2011,Shooter,2K Games,0.83,0.52,0.25,,0.07,4.3,,Gearbox Software,M
Dragon Age II,PS3,2011,Role-Playing,Electronic Arts,0.83,0.4,0.26,0.05,0.12,7.7,,BioWare Corp.,M
Rayman Origins,Wii,2011,Platform,Ubisoft,0.83,,,,,9.5,,Ubisoft,E10
Sniper: Ghost Warrior,PS3,2011,Shooter,City Interactive,0.83,0.3,0.35,0.04,0.14,4.5,,City Interactive,M
The Lord of the Rings: War in the North,PS3,2011,Role-Playing,Warner Bros. Interactive,0.82,0.25,0.43,0.01,0.12,6.5,,Snowblind Studios,M
Red Faction: Armageddon,PC,2011,Shooter,THQ,0.79,,,,,7.3,,Volition Inc.,M
Fight Night Champion,X360,2011,Fighting,EA Sports,0.78,0.4,0.31,,0.07,8.4,,EA Canada,M
Rayman Origins,X360,2011,Platform,Ubisoft,0.78,0.38,0.32,,0.08,9,,Ubisoft,E10
Goldeneye 007: Reloaded,PS3,2011,Shooter,Activision,0.78,0.33,0.33,,0.12,7.4,,Eurocom,T
ABBA: You Can Dance,Wii,2011,Misc,Ubisoft,0.77,0.18,0.5,,0.1,,,Ubisoft,
UFC Personal Trainer: The Ultimate Fitness System,X360,2011,Sports,THQ,0.77,0.53,0.18,,0.06,6,,THQ,E
The Sims 3,3DS,2011,Simulation,Electronic Arts,0.77,0.3,0.38,0.03,0.07,5.6,,The Sims Studio,T
FIFA Soccer 12,Wii,2011,Sports,EA Sports,0.76,0.15,0.51,,0.1,,,EA Canada,E
Duke Nukem Forever,PS3,2011,Shooter,2K Games,0.76,0.33,0.31,,0.11,4.4,,Gearbox Software,M
Assassin's Creed: Revelations,PC,2011,Action,Ubisoft,0.76,0.16,0.49,,0.11,,,Ubisoft Montreal,M
Defy Gravity Extended,PC,2011,Action,Unknown,0.75,,,,,,,Fish Factory Games,
Universe Sandbox,PC,2011,Simulation,Unknown,0.75,,,,,,,Dan Dixon,
Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai,0.74,0.3,0.16,0.22,0.07,7.5,,Project ACES,T
Super Street Fighter IV: Arcade Edition,PS3,2011,Fighting,Capcom,0.74,,,,,8.1,,Capcom / Dimps Corporation,T
Brink,PS3,2011,Shooter,Bethesda Softworks,0.73,0.29,0.32,0.01,0.12,7.1,,Splash Damage,T
Crysis 2,PC,2011,Shooter,Electronic Arts,0.73,0.16,0.45,,0.12,8.7,,Crytek,M
Just Dance Wii,Wii,2011,Misc,Nintendo,0.73,,,0.73,,,,Unknown,
God Eater,PSP,2011,Action,D3Publisher,0.73,,0,0.72,0,,,Shift,
F1 2011,X360,2011,Racing,Codemasters,0.72,0.11,0.5,0.01,0.09,8.5,,Codemasters Birmingham,E
DiRT 3,X360,2011,Racing,Codemasters,0.71,0.23,0.4,0.01,0.07,9.1,,Codemasters,T
Youtubers Life,PC,2011,Simulation,Unknown,0.71,,,,,,,U-PLAY Studios,
God of War: Origins Collection,PS3,2011,Action,Sony Computer Entertainment,0.71,,,,,8.6,,Ready at Dawn,M
Catherine,PS3,2011,Puzzle,Atlus,0.71,0.3,0.15,0.2,0.06,7.9,,Atlus,M
Two Worlds II,PC,2011,Role-Playing,SouthPeak Interactive,0.7,,,,,6.9,,Reality Pump,M
Gunpoint,PC,2011,Action,Unknown,0.7,,,,,,,Suspicious Developments,
RIFT,PC,2011,Role-Playing,Unknown,0.7,0.47,0.16,,0.08,8.3,,Trion Worlds,T
NHL 12,X360,2011,Sports,EA Sports,0.7,0.55,0.1,,0.05,8.8,,EA Canada,E10
Metal Gear Solid HD Collection,X360,2011,Action,Konami Digital Entertainment,0.7,0.42,0.22,,0.06,,,Bluepoint Games,M
The Sims: Medieval,PC,2011,Simulation,Electronic Arts,0.7,0.29,0.32,,0.09,7.2,,The Sims Studio,T
Driver: San Francisco,X360,2011,Racing,Ubisoft,0.7,0.25,0.37,0,0.07,8.1,,Ubisoft Reflections,T
Top Spin 4,PS3,2011,Sports,2K Sports,0.69,0.17,0.4,,0.12,8.2,,2K Czech,E
Test Drive Unlimited 2,X360,2011,Racing,Atari,0.68,0.3,0.32,0,0.06,6.8,,Eden Studios,T
SpaceChem,PC,2011,Puzzle,Unknown,0.68,,,,,9,,Zachtronics Industries,
Lalaloopsy,DS,2011,Simulation,Activision,0.68,0.51,0.1,,0.07,,,Activision,E
Frostpunk,PC,2011,Strategy,Unknown,0.68,,,,,,,11 bit studios,
LEGO Harry Potter: Years 5-7,DS,2011,Action,Warner Bros. Interactive,0.68,0.35,0.26,,0.07,,,Traveller's Tales,E10
Need for Speed: Shift 2 Unleashed,PS3,2011,Racing,Electronic Arts,0.67,0.2,0.36,,0.12,8.4,,Slightly Mad Studios,E10
Country Dance,Wii,2011,Misc,GameMill,0.67,0.58,0.04,,0.05,,,High Voltage Software,E10
Fossil Fighters: Champions,DS,2011,Role-Playing,Nintendo,0.67,0.31,,0.34,0.02,,,RED Entertainment,E
Gods Eater Burst,PSP,2011,Action,D3 Publisher,0.66,0.03,0,0.62,0,7.1,,Shift,T
BIT.TRIP RUNNER,PC,2011,Platform,Gaijin Entertainment,0.65,,,,,7,,Gaijin Games Inc.,
Rayman 3D,3DS,2011,Platform,Ubisoft,0.64,0.23,0.36,,0.06,6.3,,Ubisoft,E
Dungeon Siege III,PC,2011,Role-Playing,Square Enix,0.64,,,,,7.3,,Obsidian Entertainment,T
Rock of Ages,PC,2011,Strategy,Atlus,0.64,,,,,7,,ACE Team,
White Knight Chronicles II,PS3,2011,Role-Playing,D3 Publisher,0.63,0.23,0.09,0.27,0.04,5.4,,Level 5,T
The Sims 3: Generations,PC,2011,Simulation,Electronic Arts,0.63,0.4,0.23,,,6.5,,The Sims Studio,T
Just Dance 3,PS3,2011,Misc,Ubisoft,0.63,0.34,0.21,,0.09,,,Ubisoft Paris,E10
Dragon Age II,PC,2011,Role-Playing,Electronic Arts,0.63,0.23,0.33,,0.08,7.9,,BioWare Corp.,M
LEGO Pirates of the Caribbean: The Video Game,3DS,2011,Action,Disney Interactive Studios,0.63,0.29,0.28,,0.06,7,,TT Fusion,E10
Friday the 13th: The Game,PC,2011,Action,Unknown,0.63,,,,,,,IllFonic,
Cooking Mama 4: Kitchen Magic!,3DS,2011,Simulation,Majesco,0.63,0.5,0.07,,0.06,,,Cooking Mama Ltd.,E
Test Drive Unlimited 2,PS3,2011,Racing,Atari,0.63,0.16,0.35,0.01,0.11,6.9,,Eden Studios,T
Disney Universe,PS3,2011,Action,Disney Interactive Studios,0.62,0.3,0.23,,0.09,7.4,,Disney Interactive Studios,E10
The Black Eyed Peas Experience,Wii,2011,Misc,Ubisoft,0.62,0.37,0.19,,0.06,,,Ubisoft,T
Dragon Quest Monsters: Joker 2 Professional,DS,2011,Role-Playing,Square Enix,0.62,,,0.62,,,,TOSE Software,
Tiger Woods PGA Tour 12: The Masters,X360,2011,Sports,EA Sports,0.62,0.4,0.16,,0.05,,,EA Tiburon,E
Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Fighting,Namco Bandai,0.62,0.27,0.18,0.09,0.07,5,,Spike,T
Shogun 2: Total War,PC,2011,Strategy,Sega,0.6,,,,,9,,The Creative Assembly,T
MLB 11: The Show,PS3,2011,Sports,Sony Computer Entertainment,0.59,0.55,,,0.05,8.9,,SCEA San Diego Studios,E
Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,0.59,0.16,0.34,,0.09,8.7,,Ubisoft Montreal,M
Cave Story+,PC,2011,Platform,Studio Pixel,0.59,,,,,,,Studio Pixel,
Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,0.59,0.22,0.24,0.04,0.08,6.7,,Spicy Horse,M
Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,0.58,0.33,0.2,,0.05,,,Toys for Bob,E10
NHL 12,PS3,2011,Sports,EA Sports,0.58,0.36,0.16,,0.07,8.6,,EA Canada,E10
Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,0.58,0.35,0.18,,0.05,,,High Impact Games,E10
Pro Evolution Soccer 2012,PSP,2011,Sports,Konami,0.58,0.11,0.12,0.29,0.07,,,Konami,E
Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,0.58,0.25,0.26,,0.08,8.7,,Eidos Montreal,M
Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,NIS America,0.58,0.27,0.11,0.14,0.06,7.9,,Nippon Ichi Software,T
Harvest Moon: The Tale of Two Towns,DS,2011,Simulation,Natsume,0.57,0.27,0.06,0.22,0.03,6.3,,Marvelous Interactive,E
Disney Universe,X360,2011,Action,Disney Interactive Studios,0.57,0.37,0.14,,0.05,6.7,,Disney Interactive Studios,E10
Anomaly: Warzone Earth,PC,2011,Strategy,Unknown,0.57,,,,,7.9,,11 bit studios,
Final Fantasy IV: The Complete Collection,PSP,2011,Role-Playing,Square Enix,0.56,0.13,0.09,0.27,0.06,8,,Matrix Software,E10
"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,0.56,0.25,0.26,,0.06,7.3,,Relic Entertainment,M
Yakuza 4,PS3,2011,Adventure,Sega,0.56,,,,,7.7,,Sega,M
Dungeons of Dredmor,PC,2011,Role-Playing,Unknown,0.55,,,,,8,,Gaslamp Games,
Inazuma Eleven GO: Dark / Shine,3DS,2011,Role-Playing,Level 5,0.55,,0.07,0.48,0,,,Level 5,
MX vs. ATV: Alive,X360,2011,Racing,THQ,0.55,0.37,0.13,,0.05,6.9,,Rainbow Studios,E
Dynasty Warriors: Gundam 3,PS3,2011,Action,Tecmo Koei,0.54,0.11,0.05,0.36,0.02,6.5,,Omega Force,T
Bulletstorm,PS3,2011,Shooter,Electronic Arts,0.54,0.24,0.2,0.01,0.09,8.4,,People Can Fly,M
Phineas and Ferb: Across the 2nd Dimension,DS,2011,Action,Disney Interactive Studios,0.54,0.31,0.18,,0.05,,,Altron,E
Dragon Ball Z: Ultimate Tenkaichi,X360,2011,Fighting,Namco Bandai,0.54,0.39,0.1,0.01,0.05,6,,Spike,T
Kidou Senshi Gundam: Extreme VS,PS3,2011,Fighting,Bandai,0.54,,,0.54,,,,Bandai Namco Games,
Monster High: Ghoul Spirit,Wii,2011,Adventure,THQ,0.54,0.42,0.08,,0.04,,,THQ,E
Tactics Ogre: Let Us Cling Together,PSP,2011,Role-Playing,Square Enix,0.54,0.15,0.07,0.27,0.05,9,,Square Enix,T
Two Worlds II,X360,2011,Role-Playing,SouthPeak Interactive,0.54,0.4,0.07,0.03,0.04,6.5,,Reality Pump,M
The Sims 3: Pets,PC,2011,Simulation,Electronic Arts,0.54,0.54,0,,,7.5,,The Sims Studio,T
Inazuma Eleven,DS,2011,Role-Playing,Nintendo,0.53,,0.13,0.38,0.02,6.8,,Level 5,
Michael Jackson: The Experience,PS3,2011,Misc,Ubisoft,0.53,0.25,0.19,0,0.09,,,Ubisoft Montreal,E10
FIFA Soccer 12,PSP,2011,Sports,EA Sports,0.53,0.12,0.26,0.02,0.13,,,EA Canada,E
Sesame Street: Once Upon A Monster,X360,2011,Misc,Warner Bros. Interactive,0.52,0.39,0.09,,0.04,8,,Double Fine Productions,E
Cars 2,PS3,2011,Racing,Disney Interactive Studios,0.52,0.22,0.22,,0.09,7.5,,Avalanche Software,E10
The 3rd Birthday,PSP,2011,Role-Playing,Square Enix,0.52,0.13,0.07,0.27,0.05,7,,HexaDrive,M
Metal Gear Solid HD Collection,PS3,2011,Action,Konami,0.52,0.32,0.13,,0.07,9.1,,Bluepoint Games,M
DC Universe Online,PS3,2011,MMO,Sony Online Entertainment,0.51,0.35,0.11,,0.06,6.5,,WBIE,T
Bleach: Soul Resurreccion,PS3,2011,Fighting,NIS America,0.51,0.27,0.11,0.07,0.06,6.7,,Eighting,T
Prince of Persia Trilogy,PS3,2011,Action,Ubisoft,0.51,0.17,0.24,,0.09,8.3,,Ubisoft,M
Monster Hunter Portable 3rd HD Ver.,PS3,2011,Role-Playing,Capcom,0.5,,,0.5,,,,Capcom,
Pro Evolution Soccer 2012,X360,2011,Sports,Konami,0.5,0.1,0.34,,0.06,7.7,,Konami,E
Goldeneye 007: Reloaded,X360,2011,Shooter,Activision,0.5,0.25,0.2,,0.05,7.4,,Eurocom,T
Ridge Racer 3D,3DS,2011,Racing,Namco Bandai,0.5,0.19,0.16,0.12,0.03,7.4,,Namco Bandai Games,E
Reigns,PC,2011,Role-Playing,Unknown,0.5,,,,,,,Nerial,
Alice: Madness Returns,X360,2011,Adventure,Electronic Arts,0.5,0.27,0.15,0.04,0.04,6.9,,Spicy Horse,M
Super Monkey Ball 3D,3DS,2011,Action,Sega,0.5,0.26,0.15,0.05,0.04,5.7,,Sega,E
Steel Diver,3DS,2011,Action,Nintendo,0.5,0.31,0.1,0.05,0.04,5.6,,Nintendo EAD,E10
Resident Evil: The Mercenaries 3D,3DS,2011,Shooter,Capcom,0.49,0.16,0.17,0.13,0.03,6.3,,Capcom,M
Ace Combat: Assault Horizon,X360,2011,Action,Namco Bandai,0.49,0.3,0.12,0.03,0.04,7,,Project ACES,T
Asphalt 3D,3DS,2011,Racing,Ubisoft,0.49,0.27,0.16,0.02,0.04,4,,Konami,E10
MotorStorm: Apocalypse,PS3,2011,Racing,Sony Computer Entertainment,0.49,0.21,0.2,,0.08,7.6,,Evolution Studios,T
Worms: Ultimate Mayhem,PC,2011,Strategy,Unknown,0.49,,,,,,,Team17 Software,E10
Cars 2,X360,2011,Racing,Disney Interactive Studios,0.48,0.28,0.15,,0.05,7.5,,Avalanche Software,E10
Fortune Street,Wii,2011,Misc,Nintendo,0.48,0.25,0.03,0.17,0.03,,,Square Enix,E
Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Wii,2011,Role-Playing,Square Enix,0.47,,,0.47,,,,Square Enix,
Two Worlds II,PS3,2011,Role-Playing,SouthPeak Interactive,0.47,0.26,0.1,0.06,0.04,6.5,,Reality Pump,M
MX vs. ATV: Alive,PS3,2011,Racing,THQ,0.46,0.24,0.15,,0.07,6.9,,Rainbow Studios,E
FIFA Soccer 12,PC,2011,Sports,EA Sports,0.46,0.04,0.33,,0.09,9.1,,EA Canada,E
Red Faction: Armageddon,PS3,2011,Shooter,THQ,0.46,0.2,0.15,0.03,0.07,7,,Volition Inc.,M
Nickelodeon Team Umizoomi,DS,2011,Action,2K Play,0.46,0.42,,,0.04,,,Black Lantern Studios,EC
Country Dance 2,Wii,2011,Misc,GameMill,0.46,0.43,,,0.03,,,High Voltage Software,E
Dead or Alive: Dimensions,3DS,2011,Fighting,Tecmo Koei,0.45,0.13,0.22,0.07,0.03,7.8,,Team Ninja,T
Major League Baseball 2K11,X360,2011,Sports,2K Sports,0.45,0.4,0.03,,0.03,,,Visual Concepts,E
F.E.A.R. 3,PS3,2011,Shooter,Warner Bros. Interactive,0.45,0.21,0.16,0.01,0.07,7.8,,Day 1 Studios,M
The Sims 3: Outdoor Living Stuff,PC,2011,Simulation,Electronic Arts,0.45,,0.38,,0.07,,,EA Redwood Shores,T
"Warhammer 40,000: Space Marine",PS3,2011,Shooter,THQ,0.45,0.13,0.24,,0.08,7.3,,Relic Entertainment,M
F.E.A.R. 3,X360,2011,Shooter,Warner Bros. Interactive,0.45,0.3,0.11,0.01,0.04,7.8,,Day 1 Studios,M
Unepic,PC,2011,Misc,Unknown,0.45,,,,,,,@unepic_fran,
Virtua Tennis 4,PS3,2011,Sports,Sega,0.45,0.09,0.24,0.03,0.08,6.4,,Sega-AM2,E
Transformers: Dark of the Moon - Autobots/Decepticons,DS,2011,Action,Activision,0.44,0.32,0.08,,0.04,,,Behaviour Interactive Inc.,E10
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Atlus,0.44,0.34,0.01,0.06,0.04,7.6,,Career Soft,T
Tetris Axis,3DS,2011,Puzzle,Nintendo,0.44,0.2,0.14,0.06,0.03,7.8,,Hudson Soft,E
Madden NFL 12,Wii,2011,Sports,EA Sports,0.44,0.41,,,0.03,7,,EA Tiburon,E
Hyperdimension Neptunia,PS3,2011,Role-Playing,NIS America,0.44,0.22,0.1,0.07,0.04,5.3,,Compile Heart,T
Need for Speed: Shift 2 Unleashed,X360,2011,Racing,Electronic Arts,0.44,0.18,0.21,,0.05,8.5,,Slightly Mad Studios,E10
Child of Eden,X360,2011,Shooter,Ubisoft,0.44,0.28,0.12,,0.04,8.3,,Q Entertainment,E10
DanceStar Party,PS3,2011,Misc,Sony Computer Entertainment,0.43,,0.34,,0.09,,,SCEE London Studio,
OkamiDen,DS,2011,Adventure,Capcom,0.43,0.21,0.07,0.13,0.02,8.3,,Capcom,E10
"Barbie: Jet, Set & Style!",DS,2011,Misc,THQ,0.43,0.34,0.05,,0.04,,,THQ,E
Atelier Totori: The Adventurer of Arland,PS3,2011,Role-Playing,NIS America,0.43,0.12,0.07,0.21,0.03,7.8,,Gust,T
Dai-2-Ji Super Robot Taisen Z: Hakai-hen,PSP,2011,Strategy,Banpresto,0.42,,,0.42,,,,Banpresto,
Just Dance: Summer Party,Wii,2011,Misc,Ubisoft,0.42,0.4,,,0.03,,,Ubisoft Paris,E10
The Smurfs,DS,2011,Adventure,Ubisoft,0.41,0.23,0.14,,0.04,,,Ubisoft,E
Jamestown: Legend of the Lost Colony,PC,2011,Shooter,Unknown,0.41,,,,,8.3,,Final Form Games,
WWE All Stars,PS3,2011,Fighting,THQ,0.41,0.16,0.18,,0.07,7.6,,THQ,T
Fantastic Pets,X360,2011,Simulation,THQ,0.41,0.3,0.08,,0.04,,,Blitz Game Studios,E
Top Spin 4,X360,2011,Sports,2K Sports,0.41,0.15,0.22,,0.04,8.2,,2K Czech,E
SpongeBob SquigglePants,Wii,2011,Misc,THQ,0.41,0.35,0.03,,0.03,5.4,,WayForward Technologies,E
Madden NFL Football,3DS,2011,Sports,EA Sports,0.41,0.37,0.01,,0.03,4.5,,EA Tiburon,E
LEGO Harry Potter: Years 5-7,3DS,2011,Action-Adventure,Warner Bros. Interactive,0.41,0.18,0.19,,0.03,,,TT Fusion,E10
Just Dance Kids 2,X360,2011,Misc,Ubisoft,0.41,0.29,0.08,,0.03,,,Ubisoft,E
The Gunstringer,X360,2011,Shooter,Microsoft Studios,0.4,0.26,0.1,,0.04,7.6,,Twisted Pixel Games,T
AKB1/48: Idol to Guam de Koishitara...,PSP,2011,Misc,Namco Bandai,0.4,,,0.4,,,,Bandai Namco Games,
Fishing Resort,Wii,2011,Sports,Xseed Games,0.39,0.14,,0.25,0.01,,,Bandai Namco Games,E
Combat of Giants: Dinosaurs 3D,3DS,2011,Strategy,Ubisoft,0.39,0.25,0.07,0.05,0.03,4.3,,Ubisoft,E10
Danball Senki,PSP,2011,Role-Playing,Level 5,0.39,,,0.39,,,,Level 5,
FIFA Soccer 12,3DS,2011,Sports,EA Sports,0.39,0.08,0.27,,0.04,7,,EA Canada,E
Dungeon Siege III,PS3,2011,Role-Playing,Square Enix,0.39,0.17,0.13,0.03,0.06,7.3,,Obsidian Entertainment,T
Taiko no Tatsujin Wii: Ketteiban,Wii,2011,Misc,Namco Bandai,0.39,,,0.39,,,,Bandai Namco Games,
Disney Princess: Enchanting Storybooks,Wii,2011,Misc,THQ,0.39,0.25,0.1,,0.03,,,THQ,E
Red Faction: Armageddon,X360,2011,Shooter,THQ,0.39,0.18,0.16,0.01,0.04,7.1,,Volition Inc.,M
Samurai Warriors Chronicles,3DS,2011,Action,Tecmo Koei,0.39,0.12,0.05,0.2,0.01,5.4,,Omega Force,T
LEGO Star Wars III: The Clone Wars,PSP,2011,Action,LucasArts,0.39,0.14,0.16,,0.08,6.3,,Traveller's Tales,E10
Metal Gear Solid HD Collection,X360,2011,Action,Konami,0.38,0.25,0.1,,0.03,9.2,,Bluepoint Games,M
Raving Rabbids: Travel in Time 3D,3DS,2011,Platform,Ubisoft,0.38,0.11,0.24,,0.04,5.8,,Ubisoft Paris,E
Saints Row: The Third,PC,2011,Action,THQ,0.38,0.16,0.16,,0.05,8.3,,Volition Inc.,M
Ghost Trick: Phantom Detective,DS,2011,Adventure,Capcom,0.38,0.17,0.08,0.12,0.02,8.2,,Capcom,T
Pro Evolution Soccer 2011 3D,3DS,2011,Sports,Konami,0.38,0.11,0.13,0.11,0.02,7.5,,Konami,E
Taiko no Tatsujin Portable DX,PSP,2011,Misc,Namco Bandai,0.38,,,0.38,,,,Namco Bandai Games,
Magic: The Gathering - Duels of the Planeswalkers 2012,PC,2011,Strategy,Wizards of the Coast,0.38,,,,,8,,Stainless Games,T
Cabela's Big Game Hunter 2012,Wii,2011,Sports,Activision,0.37,0.33,0.02,,0.02,,,Activision,T
Phantasy Star Portable 2: Infinity,PSP,2011,Role-Playing,Sega,0.37,,,,,,,Alfa System,
Super Street Fighter IV: Arcade Edition,X360,2011,Fighting,Capcom,0.37,,,,,8.6,,Capcom / Dimps Corporation,T
